Date,Close,Open,High,Low,Volume,Symbol,Label
2020-01-02,966.67,960.26,966.67,959.67,200600.0,VNINDEX,0
2020-01-03,965.14,968.72,970.88,965.14,174130.0,VNINDEX,0
2020-01-06,955.79,962.79,963.2,955.59,187200.0,VNINDEX,0
2020-01-07,958.88,955.79,959.46,953.19,181630.0,VNINDEX,0
2020-01-08,948.98,954.13,955.84,945.28,319170.0,VNINDEX,0
2020-01-09,960.15,953.86,960.73,952.16,166150.0,VNINDEX,0
2020-01-10,968.54,961.17,969.71,961.17,222160.0,VNINDEX,0
2020-01-13,965.84,966.89,968.63,964.79,147150.0,VNINDEX,0
2020-01-14,967.0,966.26,968.85,965.76,190350.0,VNINDEX,0
2020-01-15,967.56,967.69,967.69,964.84,150040.0,VNINDEX,0
2020-01-16,974.31,967.2,974.7,967.17,201250.0,VNINDEX,0
2020-01-17,978.96,976.28,980.02,973.79,164140.0,VNINDEX,0
2020-01-20,978.63,978.23,979.85,975.93,148800.0,VNINDEX,0
2020-01-21,986.37,978.82,986.37,978.82,157670.0,VNINDEX,0
2020-01-22,991.46,986.52,991.46,983.92,152350.0,VNINDEX,0
2020-01-30,959.58,975.15,977.72,954.0,198510.0,VNINDEX,0
2020-01-31,936.62,959.58,960.96,936.62,253950.0,VNINDEX,0
2020-02-03,928.14,916.6,930.37,891.85,275520.0,VNINDEX,0
2020-02-04,929.09,929.42,934.91,919.33,197690.0,VNINDEX,0
2020-02-05,925.91,934.75,936.33,921.89,197380.0,VNINDEX,0
2020-02-06,938.54,926.66,938.54,925.21,223670.0,VNINDEX,0
2020-02-07,940.75,938.61,943.48,935.94,194170.0,VNINDEX,0
2020-02-10,930.73,934.38,935.87,926.61,153970.0,VNINDEX,0
2020-02-11,934.67,930.73,936.04,930.73,179350.0,VNINDEX,0
2020-02-12,937.68,940.72,943.11,937.34,228040.0,VNINDEX,0
2020-02-13,938.24,937.19,939.1,934.47,177730.0,VNINDEX,0
2020-02-14,937.45,939.28,940.65,936.47,204350.0,VNINDEX,0
2020-02-17,934.77,938.52,938.52,931.66,183250.0,VNINDEX,0
2020-02-18,927.93,934.47,934.98,926.01,187760.0,VNINDEX,0
2020-02-19,928.76,926.41,931.66,925.86,192170.0,VNINDEX,0
2020-02-20,938.13,933.69,938.13,930.41,198340.0,VNINDEX,0
2020-02-21,933.09,938.13,940.53,932.32,206750.0,VNINDEX,0
2020-02-24,903.34,917.49,917.49,903.34,291880.0,VNINDEX,0
2020-02-25,909.67,893.95,909.67,893.95,221120.0,VNINDEX,0
2020-02-26,895.97,901.51,903.27,894.25,142580.0,VNINDEX,0
2020-02-27,898.44,892.15,899.34,889.14,163290.0,VNINDEX,0
2020-02-28,882.19,885.47,887.07,872.46,241890.0,VNINDEX,0
2020-03-02,884.43,878.43,886.45,877.31,206640.0,VNINDEX,0
2020-03-03,890.61,895.39,896.39,890.06,212740.0,VNINDEX,0
2020-03-04,889.37,887.85,889.85,882.83,238450.0,VNINDEX,0
2020-03-05,893.31,892.71,898.43,891.2,231340.0,VNINDEX,0
2020-03-06,891.44,888.96,891.44,882.71,214340.0,VNINDEX,0
2020-03-09,835.49,875.8,875.8,834.67,309100.0,VNINDEX,0
2020-03-10,837.5,813.83,843.28,806.63,298020.0,VNINDEX,0
2020-03-11,811.35,843.52,844.94,794.54,318570.0,VNINDEX,0
2020-03-12,769.25,778.06,778.06,762.12,339230.0,VNINDEX,0
2020-03-13,761.78,750.56,764.69,723.42,354710.0,VNINDEX,0
2020-03-16,747.86,758.28,758.59,737.58,292250.0,VNINDEX,0
2020-03-17,745.78,724.07,750.03,721.84,287280.0,VNINDEX,0
2020-03-18,747.66,747.4,752.65,742.12,259020.0,VNINDEX,0
2020-03-19,725.94,732.35,733.43,714.02,353390.0,VNINDEX,0
2020-03-20,709.73,728.55,729.35,709.73,230590.0,VNINDEX,0
2020-03-23,666.59,694.77,694.77,664.23,280250.0,VNINDEX,0
2020-03-24,659.21,666.59,666.59,652.27,245150.0,VNINDEX,0
2020-03-25,690.25,669.76,690.25,667.58,270180.0,VNINDEX,0
2020-03-26,694.21,689.0,700.76,680.1,221850.0,VNINDEX,0
2020-03-27,696.06,692.54,703.22,682.52,327990.0,VNINDEX,0
2020-03-30,662.26,663.91,665.56,657.36,233100.0,VNINDEX,0
2020-03-31,662.53,669.74,678.64,649.1,262790.0,VNINDEX,0
2020-04-01,680.23,658.8,684.96,657.41,267020.0,VNINDEX,1
2020-04-03,701.8,687.92,701.8,687.92,233090.0,VNINDEX,2
2020-04-06,736.75,716.22,736.75,715.39,334900.0,VNINDEX,2
2020-04-07,746.69,744.97,749.13,730.28,292970.0,VNINDEX,2
2020-04-08,748.02,740.03,748.36,730.12,252290.0,VNINDEX,2
2020-04-09,760.33,751.08,765.87,751.08,298470.0,VNINDEX,2
